"payload","label","type","source"
"<script>alert(1)</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<img src=javascript:alert(1)>","1","img_tag","OWASP/GitHub/wafpass/payloadbox"
"<svg><script>alert(1)</script></svg>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<video src='video.mp4' controls>","0","benign","normal_web_content"
"<script>prompt('XSS')</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"Your verification code is 483920","0","benign","normal_web_content"
"<blockquote cite='source'>Quote text here</blockquote>","0","benign","normal_web_content"
"<input type='email' required maxlength='100' autocomplete='off'>","0","benign","normal_web_content"
"<form onsubmit=alert(1)><input type=submit>","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"<textarea oninput='alert(1)'></textarea>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"best restaurants in Saigon","0","benign","normal_web_content"
"<img src=x onerror=eval(atob('YWxlcnQoMSk='))>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<main id='content' role='main'>","0","benign","normal_web_content"
"DOMPurify.sanitize(htmlString)","0","benign","normal_web_content"
"setTimeout(() => { console.log('done'); }, 1000);","0","benign","normal_web_content"
"<a href='mailto:info@company.com' title='Send Email'>Contact Us</a>","0","benign","normal_web_content"
"<a href=javascript:alert(1)>click</a>","1","javascript_uri","OWASP/GitHub/wafpass/payloadbox"
"<p>Welcome to our website!</p>","0","benign","normal_web_content"
"<style>*{background-image:url('javascript:alert(1)')}</style>","1","javascript_uri","OWASP/GitHub/wafpass/payloadbox"
"?q=hello+world","0","benign","normal_web_content"
"Your password was changed successfully.","0","benign","normal_web_content"
"Hello, my name is Nguyen Van A","0","benign","normal_web_content"
"Dear Customer, your order has been confirmed.","0","benign","normal_web_content"
"cors({ origin: process.env.ALLOWED_ORIGIN })","0","benign","normal_web_content"
"?lang=vi&theme=dark","0","benign","normal_web_content"
"{{ variable | safe }}","0","benign","normal_web_content"
"</template><script>alert(1)</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"{% autoescape on %}{{ content }}{% endautoescape %}","0","benign","normal_web_content"
"if (!email.includes('@')) { setError('Invalid email address'); }","0","benign","normal_web_content"
"<head><title>My Website</title></head>","0","benign","normal_web_content"
"<img src=x onerror=confirm(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"Warning: This action cannot be undone","0","benign","normal_web_content"
"h1, h2, h3 { color: #333; font-weight: bold; }","0","benign","normal_web_content"
"<details open ontoggle=alert(1)>","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"Success: Your changes have been saved","0","benign","normal_web_content"
"%3Cimg%20src%3Dx%20onerror%3Dalert(1)%3E","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<body onfocus=alert(1) contenteditable>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
